Fighter Name,Types,Base,strT,strVal,wkT,wkVal,rarity
Aang,SAWFE,1950,V,150,E,100,0
Abrodolf Lincoler,CV,1810,V,50,M,50,0
Alex Armstrong,MG,1880,V,150,I,200,0
Allen the Alien,MA,1980,R,70,M,50,0
Alphonse Elric,MG,1870,V,70,C,70,0
Angstrom Levy,MEL,1930,L,160,S,180,0
Aoi Todo,MG,1890,V,100,E,60,0
Apostrophe Mike,MV,1710,E,90,M,50,0
Aquatic Dragon,WAR,1630,W,110,L,120,2
Aquatic Giant,WE,1640,F,50,A,100,2
Aquatic Soldier,WM,1600,R,60,A,90,2
Aquatic Wizard,WGR,1650,F,120,L,150,2
Arael,VLA,1860,F,150,R,200,0
Asuka Langley Soryu,F,1630,W,150,S,200,0
Atom Eve,GA,1970,C,90,R,90,0
Avatar Kyoshi,AWFE,1910,E,180,R,60,0
Avatar Roku,AWFE,1900,V,100,W,150,0
Azula,RFL,1910,M,110,W,80,0
Babe the Blue Ox,EW,1710,I,40,A,50,0
Bam,SMF,1830,V,90,E,50,0
Benvolio,M,1730,F,40,I,30,0
Beowulf,SMR,1770,V,140,F,60,0
Beth Smith,L,1780,W,40,F,30,0
Bigair,ASE,1800,G,60,F,80,1
Bigfoot,M,1860,L,70,W,70,0
Bird Person,MA,1900,R,90,M,120,0
Black Panther,ME,1940,R,90,V,50,0
Black Samson,M,1920,R,80,L,40,0
Black Widow,M,1880,V,80,G,100,0
Bloatfly,RA,1650,R,80,A,40,10
Bloodbug,MWA,1750,W,60,M,70,10
Blue Danky,MA,1650,I,40,F,30,0
Bucky Barnes,MRC,1930,M,70,A,80,0
Bulletproof,MA,1870,R,140,E,70,0
Captain America,SMR,1950,M,80,A,150,0
Cecil Stedman,L,1990,A,70,M,110,0
Choso,RG,1880,S,60,M,100,0
Chupacabra,EV,1740,G,70,M,100,0
Claudius,VM,1740,S,100,R,70,0
Codsworth,CF,1830,S,80,E,100,0
Conrad,R,1810,V,40,R,30,0
Cyborg Dragon,CAR,1680,G,130,L,100,2
Cyborg Giant,CE,1700,M,100,E,60,2
Cyborg Soldier,CM,1750,M,150,I,150,2
Cyborg Wizard,CGR,1640,R,70,F,50,2
Dagon,WV,1860,W,150,G,80,0
Damien Darkblood,V,1800,G,50,V,130,0
Darkwing,RA,1750,E,60,A,90,0
Deathclaw,M,1920,M,80,E,130,1
Dogmeat,M,1790,M,40,E,60,0
Don Quixote,SM,1820,W,50,R,40,0
Donald Ferguson,RC,1820,V,60,L,50,0
Dr. Strange,SMG,1940,V,180,C,150,0
Drax,M,1840,V,80,M,60,0
Dupli-Kate,M,1810,M,70,E,100,0
Dwarf in the Flask,VG,1970,G,100,S,160,0
Edward Elric,SMCG,1920,G,120,E,60,0
Elder Maxson,E,1930,A,160,F,200,0
Envy Homunculus,MEV,1870,G,50,M,120,0
EVA 00,CME,1930,A,140,E,140,0
EVA 01,SMR,1990,V,180,E,200,0
EVA 02,CMR,1980,C,150,A,200,0
EVA 03,CV,1860,W,100,C,170,0
Evil Morty,VW,1960,S,90,G,60,0
Evil Wizard Guy,V,1770,W,50,G,120,0
Fire Lord Sozin,FV,1930,F,150,S,190,0
Flame Dragon,FA,1740,C,100,W,140,2
Flame Giant,FE,1600,C,80,W,60,2
Flame Soldier,FM,1650,E,70,W,60,2
Flame Wizard,FGR,1680,I,90,W,40,2
Frost Dragon,IA,1700,C,100,F,150,2
Frost Giant,IE,1750,W,120,F,60,2
Frost Soldier,IM,1650,W,50,M,50,2
Frost Wizard,IGR,1660,C,60,F,80,2
Gamora,M,1840,S,100,G,140,0
Gatekeeper,ML,1740,R,70,G,80,0
